fdc_id,protein_g,fat_g,carbs_g,calories,description
169497,27.02,7.12,0.0,172.0,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean only, trimmed to 0"" fat, select, cooked, roasted"
169498,16.53,26.1,0.0,306.0,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, all grades, raw"
169499,22.42,26.75,0.0,337.0,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled"
169500,22.77,28.11,0.0,351.0,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted"
169501,22.73,24.2,0.0,315.0,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled"
169502,23.1,25.63,0.0,330.0,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted"
169503,16.15,31.66,0.0,355.0,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, prime, raw"
169504,21.95,32.38,0.0,386.0,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, prime, cooked, broiled"
169505,16.03,29.34,0.0,333.0,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, choice, raw"
169506,20.86,31.18,0.0,370.0,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled"
169507,22.5,31.28,0.0,378.0,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted"
169508,16.52,24.85,0.0,295.0,"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, select, raw"
169509,19.33,19.06,0.0,254.0,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, all grades, raw"
169510,25.85,20.04,0.0,291.0,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled"
169511,22.54,27.14,0.0,341.0,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted"
169512,19.09,20.13,0.0,263.0,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, choice, raw"
169513,22.76,25.02,0.0,323.0,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted"
169514,16.74,29.18,0.06,335.0,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, prime, raw"
169515,24.13,27.86,0.0,354.0,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, prime, cooked, broiled"
169516,22.15,35.12,0.0,411.0,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, prime, cooked, roasted"
169517,20.56,10.68,0.0,184.0,"Beef, round, full cut, separable lean and fat, trimmed to 1/8"" fat, select, raw"
169518,27.58,11.08,0.0,218.0,"Beef, round, full cut, separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled"
169519,20.7,11.54,0.0,192.0,"Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, raw"
169520,32.76,11.87,0.0,247.0,"Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised"
169521,32.67,11.19,0.0,240.0,"Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, select, cooked, braised"
169522,26.77,10.85,0.0,212.0,"Beef, round, bottom round, roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted"
169523,21.49,8.24,0.0,166.0,"Beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, all grades, raw"
169524,28.31,9.65,0.0,208.0,"Beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted"
169525,19.6,11.67,0.0,189.0,"Beef, round, tip round, separable lean and fat, trimmed to 1/8"" fat, all grades, raw"
169526,27.45,11.34,0.0,219.0,"Beef, round, tip round, roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted"
169527,19.48,12.83,0.0,199.0,"Beef, round, tip round, separable lean and fat, trimmed to 1/8"" fat, choice, raw"
169528,27.27,12.34,0.0,228.0,"Beef, round, tip round, roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted"
169529,22.06,7.93,0.0,166.0,"Beef, round, top round, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, raw"
169530,34.34,10.13,0.0,238.0,"Beef, round, top round, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised"
169531,30.67,9.0,0.0,204.0,"Beef, round, top round steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled"
169532,21.94,8.19,0.0,168.0,"Beef, round, top round, steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw"
169533,30.63,7.73,0.0,201.0,"Beef, round, top round, steak, separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled"
169534,22.24,8.67,0.0,173.0,"Beef, round, top round, separable lean and fat, trimmed to 1/8"" fat, prime, raw"
169535,31.27,10.1,0.0,225.0,"Beef, round, top round, steak, separable lean and fat, trimmed to 1/8"" fat, prime, cooked, broiled"
169536,20.28,6.21,0.0,137.0,"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, select, raw"
169537,24.21,21.13,0.0,294.0,"Beef, short loin, t-bone steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled"
169538,20.61,15.49,0.0,228.0,"Beef, short loin, top loin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, raw"
169539,26.44,16.78,0.0,264.0,"Beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled"
169540,19.32,17.1,0.0,237.0,"Beef, loin, top loin, separable lean and fat, trimmed to 1/8"" fat, choice, raw"
169541,25.92,22.12,0.0,310.0,"Beef, short loin, top loin, separable lean and fat, trimmed to 1/8"" fat, prime, cooked, broiled"
169542,19.61,18.16,0.0,247.0,"Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, raw"
169543,26.46,17.12,0.0,267.0,"Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled"
169544,23.9,24.6,0.0,324.0,"Beef, tenderloin, roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted"
169545,19.82,17.88,0.0,246.0,"Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw"
169546,23.9,23.7,0.0,316.0,"Beef, tenderloin, roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted"
169547,18.15,21.83,0.0,274.0,"Beef, tenderloin, separable lean and fat, trimmed to 1/8"" fat, prime, raw"
169548,25.26,22.21,0.0,308.0,"Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, prime, cooked, broiled"
